team1,team2,toss_winner,toss_decision,venue,winner
Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad
Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,"Eden Gardens, Kolkata",Unknown
Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,field,"Wankhede Stadium, Mumbai",Mumbai Indians
Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Arun Jaitley Stadium, Delhi",Royal Challengers Bengaluru
Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals
Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders
Chennai Super Kings,Punjab Kings,Punjab Kings,field,"MA Chidambaram Stadium, Chepauk, Chennai",Punjab Kings
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians
Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,bat,"Eden Gardens, Kolkata",Kolkata Knight Riders
Punjab Kings,Lucknow Super Giants,Lucknow Super Giants,field,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Punjab Kings
Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Unknown
Mumbai Indians,Gujarat Titans,Gujarat Titans,field,"Wankhede Stadium, Mumbai",Gujarat Titans
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,"Eden Gardens, Kolkata",Chennai Super Kings
Punjab Kings,Delhi Capitals,Punjab Kings,bat,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Unknown
Punjab Kings,Rajasthan Royals,Punjab Kings,bat,"Sawai Mansingh Stadium, Jaipur",Punjab Kings
Delhi Capitals,Gujarat Titans,Gujarat Titans,field,"Arun Jaitley Stadium, Delhi",Gujarat Titans
Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Sunrisers Hyderabad
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,"Arun Jaitley Stadium, Delhi",Rajasthan Royals
Mumbai Indians,Delhi Capitals,Delhi Capitals,field,"Wankhede Stadium, Mumbai",Mumbai Indians
Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,"Narendra Modi Stadium, Ahmedabad",Lucknow Super Giants
Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Sunrisers Hyderabad
Punjab Kings,Delhi Capitals,Delhi Capitals,field,"Sawai Mansingh Stadium, Jaipur",Delhi Capitals
Chennai Super Kings,Gujarat Titans,Chennai Super Kings,bat,"Narendra Modi Stadium, Ahmedabad",Chennai Super Kings
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad
Mumbai Indians,Punjab Kings,Punjab Kings,field,"Sawai Mansingh Stadium, Jaipur",Punjab Kings
Lucknow Super Giants,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Royal Challengers Bengaluru
Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Royal Challengers Bengaluru
Mumbai Indians,Gujarat Titans,Mumbai Indians,bat,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Mumbai Indians
Mumbai Indians,Punjab Kings,Punjab Kings,field,"Narendra Modi Stadium, Ahmedabad",Punjab Kings
Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bengaluru
